,decade,yearID,BA,BABIP,KPG,OBP,BBPG,ERA,OPS,SLG
16,1880,1887,9.378458542648428,10.935153421234245,5.256586001432051,12.687239779624937,13.95773347507992,12.637967147892514,11.376930749114367,10.414796985494004
17,1880,1888,0.5263342617742182,3.7880524010719214,7.525082642056543,5.384965065774246,9.89952800150473,4.812586325336582,3.3675225501737267,2.236647372637507
18,1880,1889,7.448471123512639,10.49976702659386,7.02101667950531,13.134322037621688,16.6237175921258,11.103613983208556,10.223014411155633,7.970172772894423
19,1890,1890,6.489586032086838,6.306548206141375,6.6888928764744096,13.623640482274613,18.139862494642124,10.78450596811126,9.904118125658718,6.985594916590241
20,1890,1891,4.707929174682555,7.522513436334934,6.795415970947497,12.666199009293608,17.991331100379238,8.509528500511518,8.760286607008902,5.7455197623142045
21,1890,1892,2.259577671204213,4.572452292640618,6.3137162299922345,10.07256481762407,16.569392914187425,6.97389091858067,6.234616814341418,3.412422482073808
22,1890,1893,11.838721425307629,11.838467991554577,3.51595466109911,17.136104756183023,19.44135080647961,15.75076250946912,13.94343819263833,11.253820808525576
23,1890,1894,20.0,20.0,3.514329385422675,20.0,18.539843156924054,20.0,20.0,19.68330636424448
24,1890,1895,16.42087521343442,17.148625328703826,3.9751417934056015,17.01814042537486,15.954502880168313,16.46441457855716,15.608537846249881,14.336074276455413
25,1890,1896,14.799531626841931,15.628390594695283,3.837332429674421,15.560915435738583,15.080243429417191,13.824119668011058,13.881707026506637,12.473901184817116
26,1890,1897,15.118384482982414,16.35670598178664,4.066213313975869,15.583006983724859,14.355340420320665,13.458560169290232,13.77922868566963,12.271675291287776
27,1890,1898,9.334303923864393,10.576023130826988,4.056613789991625,11.957794382713393,13.460863842095316,9.004334932227678,8.76433308528305,6.351199489423232
28,1890,1899,12.559593946129867,13.359636303651268,3.56618850129258,13.64368565734338,13.181943073353393,10.566761589061791,11.193694480526784,9.278609195383835
29,1900,1900,11.703037853899804,12.885068390892787,4.182369159209994,12.911055373084752,12.82759161572776,9.590219998874456,10.846570932583838,9.27572210418519
30,1900,1901,9.669005142899849,12.73312444441968,6.009575564204721,10.678419050658327,11.55393801277254,8.268750677493102,9.232160848574356,8.269958169993444
31,1900,1902,8.286948127930668,11.151615529062793,5.588286391408901,9.641046597578688,11.372249066443745,6.243744490093377,7.389274315519794,5.845226431933877
32,1900,1903,7.010435336726553,11.35145199395609,7.053221561800732,8.770022252816016,11.43610020354876,5.873721450720534,7.220339401386603,6.27842858806027
33,1900,1904,2.8004531129623955,7.372395166722249,7.426335269348301,5.85625239454046,10.655166955466512,3.0000677070112114,3.7321833786765453,2.49171996312818
34,1900,1905,3.1183805683559567,8.024669954538656,7.694021525662502,6.837057910416706,11.829105121190533,4.011341946738406,4.300691392014376,2.6815125768377284
35,1900,1906,2.7252148429397858,7.549440302744879,7.345854521212445,6.5192435214963655,11.972227298301545,2.9750595658077117,3.443556911684373,1.4146511411084997
36,1900,1907,2.379079827050138,6.882304338542515,6.901263764163307,6.270862301673347,12.016834373101013,1.987205715120278,2.886297479039065,0.626285160907787
37,1900,1908,0.6243737854733792,5.033559563430875,7.113395785967706,4.557347333953006,11.294877477836176,1.1194906747252007,1.7285593089457052,0.0
38,1900,1909,1.969743759481469,6.915454444182472,7.388928221573321,6.299878029470477,12.53454479467776,2.161995259701292,3.089116696684911,0.9650728285207308
39,1910,1910,3.4769591157074977,8.571147813691143,7.653568817249252,8.401219474484154,14.207920838968384,3.6826660703342995,5.280653726038733,3.115525297560392
40,1910,1911,8.181102547699432,8.249778182442842,7.9753928125527915,11.70823485057251,15.390788578616522,7.487333358176118,9.495767392343378,7.87219554892776
41,1910,1912,8.799304400233144,8.939238645875495,7.9493878485836476,11.796936802135395,14.958266850837457,7.496035586133041,9.68202119165743,8.130889987596131
